localfile	source_repo	source_path	url
gozzarda_spsetup__modules_nixos_firewall.nft.nft	gozzarda/spsetup	modules/nixos/firewall.nft	https://github.com/gozzarda/spsetup/blob/HEAD/modules/nixos/firewall.nft
Loongson-Cloud-Community_dockerfiles__kubevirt_virt-handler_0.56.0_ipv6-nat.nft.nft	Loongson-Cloud-Community/dockerfiles	kubevirt/virt-handler/0.56.0/ipv6-nat.nft	https://github.com/Loongson-Cloud-Community/dockerfiles/blob/HEAD/kubevirt/virt-handler/0.56.0/ipv6-nat.nft
openstack-k8s-operators_edpm-ansible__roles_edpm_nftables_files_iptables.nft.nft	openstack-k8s-operators/edpm-ansible	roles/edpm_nftables/files/iptables.nft	https://github.com/openstack-k8s-operators/edpm-ansible/blob/HEAD/roles/edpm_nftables/files/iptables.nft
BasisResearch_certified-firewall-experiment__kernel_examples_nat6.nft.nft	BasisResearch/certified-firewall-experiment	kernel/examples/nat6.nft	https://github.com/BasisResearch/certified-firewall-experiment/blob/HEAD/kernel/examples/nat6.nft
shakibamoshiri_vit__nftables-alpine_ipv6-filter.nft.nft	shakibamoshiri/vit	nftables-alpine/ipv6-filter.nft	https://github.com/shakibamoshiri/vit/blob/HEAD/nftables-alpine/ipv6-filter.nft
jameywine_GPL-for-GP3000__user_nftables_files_nftables_ipv6-raw.nft.nft	jameywine/GPL-for-GP3000	user/nftables/files/nftables/ipv6-raw.nft	https://github.com/jameywine/GPL-for-GP3000/blob/HEAD/user/nftables/files/nftables/ipv6-raw.nft
alexswilliams_home-iac__playbooks_files_router_nftables_nftables-pre-up.nft.nft	alexswilliams/home-iac	playbooks/files/router/nftables/nftables-pre-up.nft	https://github.com/alexswilliams/home-iac/blob/HEAD/playbooks/files/router/nftables/nftables-pre-up.nft
yyjeqhc_nft_fullcone__nft-1.1.1_files_nftables_ipv6-mangle.nft.nft	yyjeqhc/nft_fullcone	nft-1.1.1/files/nftables/ipv6-mangle.nft	https://github.com/yyjeqhc/nft_fullcone/blob/HEAD/nft-1.1.1/files/nftables/ipv6-mangle.nft
a85tract_o2c__evaluation-projects_saved_ruleset.nft.nft	a85tract/o2c	evaluation-projects/saved_ruleset.nft	https://github.com/a85tract/o2c/blob/HEAD/evaluation-projects/saved_ruleset.nft
PH4NTXMOFFICIAL_PH4NTXM__config_includes.chroot_etc_firewall_normal.nft.nft	PH4NTXMOFFICIAL/PH4NTXM	config/includes.chroot/etc/firewall/normal.nft	https://github.com/PH4NTXMOFFICIAL/PH4NTXM/blob/HEAD/config/includes.chroot/etc/firewall/normal.nft
Shigehiro_Linux_tips_2023__RHEL8_nftables_no_conntrack_main.nft.nft	Shigehiro/Linux_tips_2023	RHEL8_nftables_no_conntrack/main.nft	https://github.com/Shigehiro/Linux_tips_2023/blob/HEAD/RHEL8_nftables_no_conntrack/main.nft
middelkoopt_piwulf__containers_warewulf_nat.nft.nft	middelkoopt/piwulf	containers/warewulf/nat.nft	https://github.com/middelkoopt/piwulf/blob/HEAD/containers/warewulf/nat.nft
